"sppid","species","scinam","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest"
"LeContesSparrow","Le Conte's Sparrow","Ammodramus leconteii",3505,TRUE,TRUE,2025,1310,2025,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"LeastFlycatcher","Least Flycatcher","Empidonax minimus",9875,TRUE,TRUE,8320,4820,8320,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"LongearedOwl","Long-eared Owl","Asio otus",13,FALSE,FALSE,8,4,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"LesserScaup","Lesser Scaup","Aythya affinis",1145,TRUE,TRUE,598,1026,1026,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"LesserYellowlegs","Lesser Yellowlegs","Tringa flavipes",598,TRUE,TRUE,482,131,482,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"LincolnsSparrow","Lincoln's Sparrow","Melospiza lincolnii",9107,TRUE,TRUE,7921,2285,7921,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"MarbledGodwit","Marbled Godwit","Limosa fedoa",4021,TRUE,TRUE,316,3843,3843,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"Mallard","Mallard","Anas platyrhynchos",6561,TRUE,TRUE,3081,5833,5833,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"MagnoliaWarbler","Magnolia Warbler","Setophaga magnolia",2735,TRUE,TRUE,2404,110,2404,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"MarshWren","Marsh Wren","Cistothorus palustris",461,TRUE,TRUE,212,177,212,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"McCownsLongspur","McCown's Longspur","Rhynchophanes mccownii",647,FALSE,TRUE,2,599,599,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0
"MewGull","Mew Gull","Larus canus",3,FALSE,FALSE,3,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"Merlin","Merlin","Falco columbarius",206,TRUE,TRUE,123,172,172,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"MountainBluebird","Mountain Bluebird","Sialia currucoides",882,TRUE,TRUE,694,599,694,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"MountainChickadee","Mountain Chickadee","Poecile gambeli",212,TRUE,FALSE,208,5,208,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"MourningDove","Mourning Dove","Zenaida macroura",2066,TRUE,TRUE,537,1908,1908,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"MourningWarbler","Mourning Warbler","Geothlypis philadelphia",3778,TRUE,TRUE,2222,166,2222,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"NashvilleWarbler","Nashville Warbler","Oreothlypis ruficapilla",25,TRUE,FALSE,25,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"NelsonsSparrow","Nelson's Sparrow","Ammodramus nelsoni",358,TRUE,TRUE,234,229,234,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"NorthernHawkOwl","Northern Hawk Owl","Surnia ulula",15,FALSE,FALSE,10,1,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"NorthernCardinal","Northern Cardinal","Cardinalis cardinalis",1,FALSE,FALSE,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"NorthernFlicker","Northern Flicker","Colaptes auratus",1066,TRUE,TRUE,876,135,876,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"NorthernGoshawk","Northern Goshawk","Accipiter gentilis",39,TRUE,FALSE,36,12,36,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
"NorthernHarrier","Northern Harrier","Circus cyaneus",820,TRUE,TRUE,228,778,778,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"NorthernPintail","Northern Pintail","Anas acuta",1362,TRUE,TRUE,271,1294,1294,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"NorthernPygmyOwl","Northern Pygmy-Owl","Glaucidium gnoma",23,FALSE,FALSE,18,1,18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
"NorthernWaterthrush","Northern Waterthrush","Parkesia noveboracensis",1640,TRUE,TRUE,1399,59,1399,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"NorthernRoughwingedSwallow","Northern Rough-winged Swallow","Stelgidopteryx serripennis",73,TRUE,TRUE,32,39,39,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"NorthernShoveler","Northern Shoveler","Anas clypeata",2049,TRUE,TRUE,712,1913,1913,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"OrangecrownedWarbler","Orange-crowned Warbler","Oreothlypis celata",2092,TRUE,TRUE,1970,143,1970,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"OlivesidedFlycatcher","Olive-sided Flycatcher","Contopus cooperi",800,TRUE,TRUE,684,57,684,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"Osprey","Osprey","Pandion haliaetus",111,TRUE,TRUE,108,25,108,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"Ovenbird","Ovenbird","Seiurus aurocapilla",15284,TRUE,TRUE,11271,545,11271,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"PalmWarbler","Palm Warbler","Setophaga palmarum",2225,TRUE,TRUE,2035,45,2035,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"PiedbilledGrebe","Pied-billed Grebe","Podilymbus podiceps",563,TRUE,TRUE,336,266,336,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"PhiladelphiaVireo","Philadelphia Vireo","Vireo philadelphicus",1624,TRUE,TRUE,1070,164,1070,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"PineGrosbeak","Pine Grosbeak","Pinicola enucleator",96,TRUE,FALSE,70,0,70,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"PineSiskin","Pine Siskin","Spinus pinus",5440,TRUE,TRUE,4734,369,4734,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"PileatedWoodpecker","Pileated Woodpecker","Dryocopus pileatus",928,TRUE,TRUE,773,129,773,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"PurpleFinch","Purple Finch","Carpodacus purpureus",461,TRUE,TRUE,339,109,339,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"PurpleMartin","Purple Martin","Progne subis",135,TRUE,TRUE,129,122,129,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"RosebreastedGrosbeak","Rose-breasted Grosbeak","Pheucticus ludovicianus",6152,TRUE,TRUE,4755,940,4755,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"RingbilledGull","Ring-billed Gull","Larus delawarensis",3269,TRUE,TRUE,1295,2942,2942,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RedbreastedNuthatch","Red-breasted Nuthatch","Sitta canadensis",4341,TRUE,TRUE,3526,320,3526,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"RubycrownedKinglet","Ruby-crowned Kinglet","Regulus calendula",11447,TRUE,TRUE,9602,406,9602,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"RedCrossbill","Red Crossbill","Loxia curvirostra",159,TRUE,FALSE,141,2,141,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
"Redhead","Redhead","Aythya americana",520,TRUE,TRUE,316,459,459,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RedeyedVireo","Red-eyed Vireo","Vireo olivaceus",16182,TRUE,TRUE,12985,4028,12985,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RingneckedDuck","Ring-necked Duck","Aythya collaris",209,TRUE,TRUE,157,110,157,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RingneckedPheasant","Ring-necked Pheasant","Phasianus colchicus",1158,TRUE,TRUE,51,1122,1122,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"RedneckedGrebe","Red-necked Grebe","Podiceps grisegena",1116,TRUE,TRUE,723,434,723,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RedneckedPhalarope","Red-necked Phalarope","Phalaropus lobatus",25,FALSE,FALSE,2,24,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"RednapedSapsucker","Red-naped Sapsucker","Sphyrapicus nuchalis",42,TRUE,FALSE,38,5,38,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
"RockPigeon","Rock Pigeon","Columba livia",2164,TRUE,TRUE,1029,2130,2130,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RockWren","Rock Wren","Salpinctes obsoletus",65,FALSE,TRUE,22,50,50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"RedtailedHawk","Red-tailed Hawk","Buteo jamaicensis",3457,TRUE,TRUE,2511,3016,3016,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RubythroatedHummingbird","Ruby-throated Hummingbird","Archilochus colubris",44,TRUE,TRUE,40,36,40,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"RustyBlackbird","Rusty Blackbird","Euphagus carolinus",278,TRUE,TRUE,182,74,182,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"RuddyDuck","Ruddy Duck","Oxyura jamaicensis",476,TRUE,TRUE,323,441,441,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RuffedGrouse","Ruffed Grouse","Bonasa umbellus",1739,TRUE,TRUE,1222,172,1222,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"RedwingedBlackbird","Red-winged Blackbird","Agelaius phoeniceus",19507,TRUE,TRUE,10832,15865,15865,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SandhillCrane","Sandhill Crane","Grus canadensis",854,TRUE,TRUE,702,86,702,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"SaysPhoebe","Say's Phoebe","Sayornis saya",98,FALSE,TRUE,14,93,93,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"SavannahSparrow","Savannah Sparrow","Passerculus sandwichensis",25845,TRUE,TRUE,13203,23164,23164,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"ShortbilledDowitcher","Short-billed Dowitcher","Limnodromus griseus",38,FALSE,FALSE,7,0,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"ShortearedOwl","Short-eared Owl","Asio flammeus",180,TRUE,TRUE,41,175,175,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"SemipalmatedPlover","Semipalmated Plover","Charadrius semipalmatus",1,FALSE,FALSE,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"SedgeWren","Sedge Wren","Cistothorus platensis",238,TRUE,FALSE,46,12,46,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"SnowBunting","Snow Bunting","Plectrophenax nivalis",1,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"SnowGoose","Snow Goose","Chen caerulescens",12,FALSE,FALSE,3,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"Sora","Sora","Porzana carolina",4359,TRUE,TRUE,2653,3004,3004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SolitarySandpiper","Solitary Sandpiper","Tringa solitaria",624,TRUE,TRUE,511,81,511,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"SongSparrow","Song Sparrow","Melospiza melodia",9461,TRUE,TRUE,8692,7850,8692,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpruceGrouse","Spruce Grouse","Falcipennis canadensis",39,FALSE,FALSE,15,0,15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SpraguesPipit","Sprague's Pipit","Anthus spragueii",4348,TRUE,TRUE,348,3879,3879,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpottedSandpiper","Spotted Sandpiper","Actitis macularius",1289,TRUE,TRUE,867,550,867,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpottedTowhee","Spotted Towhee","Pipilo maculatus",36,FALSE,TRUE,12,36,36,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"SharpshinnedHawk","Sharp-shinned Hawk","Accipiter striatus",62,TRUE,TRUE,47,34,47,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
"SharptailedGrouse","Sharp-tailed Grouse","Tympanuchus phasianellus",256,FALSE,TRUE,20,221,221,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"SwainsonsHawk","Swainson's Hawk","Buteo swainsoni",1871,TRUE,TRUE,317,1850,1850,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SwampSparrow","Swamp Sparrow","Melospiza georgiana",1789,TRUE,TRUE,1242,325,1242,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SwainsonsThrush","Swainson's Thrush","Catharus ustulatus",17208,TRUE,TRUE,13656,470,13656,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"TennesseeWarbler","Tennessee Warbler","Oreothlypis peregrina",18271,TRUE,TRUE,13989,450,13989,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"TownsendsSolitaire","Townsend's Solitaire","Myadestes townsendi",141,TRUE,FALSE,141,0,141,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
"TreeSwallow","Tree Swallow","Tachycineta bicolor",6485,TRUE,TRUE,5378,4715,5378,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"TrumpeterSwan","Trumpeter Swan","Cygnus buccinator",12,FALSE,FALSE,11,3,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"TundraSwan","Tundra Swan","Cygnus columbianus",45,FALSE,FALSE,5,0,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"TurkeyVulture","Turkey Vulture","Cathartes aura",6,FALSE,FALSE,6,4,6,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"UplandSandpiper","Upland Sandpiper","Bartramia longicauda",692,TRUE,TRUE,60,596,596,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"VariedThrush","Varied Thrush","Ixoreus naevius",2034,TRUE,FALSE,1526,1,1526,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
"Veery","Veery","Catharus fuscescens",169,TRUE,TRUE,167,56,167,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"VesperSparrow","Vesper Sparrow","Pooecetes gramineus",18264,TRUE,TRUE,5472,17085,17085,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"VioletgreenSwallow","Violet-green Swallow","Tachycineta thalassina",40,FALSE,FALSE,24,20,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"VirginiaRail","Virginia Rail","Rallus limicola",11,FALSE,FALSE,3,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"WarblingVireo","Warbling Vireo","Vireo gilvus",5964,TRUE,TRUE,5531,1991,5531,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WhitebreastedNuthatch","White-breasted Nuthatch","Sitta carolinensis",232,TRUE,TRUE,205,72,205,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"WhitecrownedSparrow","White-crowned Sparrow","Zonotrichia leucophrys",1350,TRUE,TRUE,1253,146,1253,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WesternGrebe","Western Grebe","Aechmophorus occidentalis",48,TRUE,TRUE,32,35,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"WesternKingbird","Western Kingbird","Tyrannus verticalis",826,FALSE,TRUE,19,822,822,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"WesternMeadowlark","Western Meadowlark","Sturnella neglecta",20584,TRUE,TRUE,2439,19414,19414,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WesternTanager","Western Tanager","Piranga ludoviciana",3112,TRUE,TRUE,2450,125,2450,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WesternWoodPewee","Western Wood-Pewee","Contopus sordidulus",2152,TRUE,TRUE,1812,983,1812,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WillowFlycatcher","Willow Flycatcher","Empidonax traillii",117,TRUE,TRUE,110,29,110,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"Willet","Willet","Tringa semipalmata",3020,TRUE,TRUE,384,2761,2761,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WilsonsPhalarope","Wilson's Phalarope","Phalaropus tricolor",601,TRUE,TRUE,87,563,563,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"WilsonsSnipe","Wilson's Snipe","Gallinago delicata",12172,TRUE,TRUE,8842,6511,8842,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WilsonsWarbler","Wilson's Warbler","Cardellina pusilla",1142,TRUE,FALSE,1090,24,1090,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"WinterWren","Winter Wren","Troglodytes hiemalis",3585,TRUE,FALSE,2265,6,2265,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"WoodDuck","Wood Duck","Aix sponsa",4,FALSE,FALSE,0,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"WhitethroatedSparrow","White-throated Sparrow","Zonotrichia albicollis",23366,TRUE,TRUE,18611,3725,18611,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WhitewingedCrossbill","White-winged Crossbill","Loxia leucoptera",1426,TRUE,TRUE,1257,30,1257,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"YellowbelliedFlycatcher","Yellow-bellied Flycatcher","Empidonax flaviventris",749,TRUE,FALSE,719,18,719,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"YellowbelliedSapsucker","Yellow-bellied Sapsucker","Sphyrapicus varius",4280,TRUE,TRUE,3216,591,3216,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"YellowRail","Yellow Rail","Coturnicops noveboracensis",241,TRUE,TRUE,59,25,59,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"YellowWarbler","Yellow Warbler","Setophaga petechia",3357,TRUE,TRUE,2142,846,2142,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"YellowheadedBlackbird","Yellow-headed Blackbird","Xanthocephalus xanthocephalus",1992,TRUE,TRUE,680,1800,1800,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"YellowrumpedWarbler","Yellow-rumped Warbler","Setophaga coronata",14559,TRUE,TRUE,10109,184,10109,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
